id,id2,.metric,.estimator,.estimate,.config,model,response,VNIR_only,nil_only,normalization,derivative,dataset
Repeat5,Fold2,rmse,standard,20.741241507873404,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold2,rsq,standard,0.9999999999999996,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold3,rmse,standard,23.916607563556756,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold3,rsq,standard,1,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold4,rmse,standard,32.33749044557725,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold4,rsq,standard,0.9999999999999998,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold5,rmse,standard,32.48830242368266,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat5,Fold5,rsq,standard,1,Preprocessor1_Model1,PLSR,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold1,rmse,standard,24.859187674499484,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold1,rsq,standard,0.945689255209139,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold2,rmse,standard,24.93511197492083,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold2,rsq,standard,1,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold3,rmse,standard,11.446561953456905,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold3,rsq,standard,1.0000000000000004,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold4,rmse,standard,58.81585618058408,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold4,rsq,standard,NA,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold5,rmse,standard,45.6696239833902,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat1,Fold5,rsq,standard,NA,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold1,rmse,standard,33.090933428091716,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold1,rsq,standard,0.02871055918163981,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold2,rmse,standard,55.76890613661904,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold2,rsq,standard,1.0000000000000004,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold3,rmse,standard,42.79013560840579,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold3,rsq,standard,1,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold4,rmse,standard,14.660098415851664,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold4,rsq,standard,1,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold5,rmse,standard,54.380580907015975,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat2,Fold5,rsq,standard,1,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold1,rmse,standard,43.1133940113699,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
Repeat3,Fold1,rsq,standard,0.006718835039295104,Preprocessor1_Model1,SVM,reflectance_raw,VNIR only,TRUE,Pu,None,Full spectrum
